autopool,destination_vault_address,destination_name,pool_address,exchange,vp_function,vp_status,notes
autoETH,0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,autoETH (Idle),0x0A2b94F6871c1D7A32Fe58E1ab5e6deA2f114E56,tokemak,N/A - always 1.0,OK,autopool itself - VP is always 1.0
autoETH,0x1Ea622fa030e4a78F4CC2f305dd3c08DA3F08573,Curve.fi Factory Pool: ETHx-ETH,0x59Ab5a5b5d617E478a2479B0cAD80DA7e2831492,curve,get_virtual_price()(uint256),OK,VP ~1.036-1.045 reasonable for Curve
autoETH,0xC001f23397dB71B17602Ce7D90a983Edc38DB0d1,Curve.fi Factory Pool: ETHx-ETH (old),0x59Ab5a5b5d617E478a2479B0cAD80DA7e2831492,curve,get_virtual_price()(uint256),SUSPECT,VP ~1.0025 - same pool as 0x1Ea6 but VP way lower; old DV contract may not resolve to correct pool via getStats().pool()
autoETH,0x3772973f8F399D74488D5cF3276C032E0afC8A6f,Curve.fi Factory Pool: OETH,0x94B17476A93b3262d87B9a326965D1E91f9c13E7,curve,get_virtual_price()(uint256),SUSPECT,VP ~1.0023 - hardcoded override in augment_plans.py but VP barely moves; check if curvePool() address is correct
autoETH,0x28109255F49f0A02BB31358B3e0b5cb7512EB4eC,OETH/WETH,0xcc7d5785AD5755B6164e21495E07aDb0Ff11C2A8,curve,get_virtual_price()(uint256),SUSPECT,VP ~1.0002 - only 2 events; very low VP suggests wrong pool or pool was just deployed
autoETH,0x2C7120dCCF1c14A37A26A4955475d45d34a3d7E7,Instadapp ETH v2,0xA0D3707c569ff8C87FA923d3823eC5D81c98Be78,fluid,exchangePrice()(uint256),OK,VP ~1.17-1.20 reasonable; hardcoded override in augment_plans.py
autoETH,0xd100c932801390fdeBcE11F26f611D4898b44236,wstETH (Holding),0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,lido,stEthPerToken()(uint256),OK,VP ~1.21 reasonable for wstETH; hardcoded override in augment_plans.py
autoETH,0x3F55eedDe51504E6Ed0ec30E8289b4Da11EdB7F9,osETH/rETH (new),0xe080027Bd47353b5D1639772b4a75E9Ed3658A0d,curve,get_virtual_price()(uint256),OK,VP ~1.028-1.048 reasonable for Curve pool
autoETH,0x896eCc16Ab4AFfF6cE0765A5B924BaECd7Fa455a,osETH/rETH (old),0xe080027Bd47353b5D1639772b4a75E9Ed3658A0d,curve,get_virtual_price()(uint256),WRONG,VP ~1.0025 - SHOULD use same pool as 0x3F55 but build_dv_to_sig_to_vp resolves to wrong pool; predicted 5.5% vs actual 0.07%
autoETH,0xe4433D00Cf48BFE0C672d9949F2cd2c008bffC04,pxETH/stETH (main),0x6951bDC4734b9f7F3E1B74afeBC670c736A0EDB6,curve,get_virtual_price()(uint256),OK,VP ~1.01-1.02 reasonable; hardcoded override in augment_plans.py
autoETH,0x2E0E2AB6505A1182367DFB1e3c66648bF3EEA020,pxETH/stETH (alt),0x6951bDC4734b9f7F3E1B74afeBC670c736A0EDB6,curve,get_virtual_price()(uint256),OK,VP ~1.022 reasonable; same pool as 0xe443
autoETH,0xd96E943098B2AE81155e98D7DC8BeaB34C539f01,pxETH/stETH (old),0x6951bDC4734b9f7F3E1B74afeBC670c736A0EDB6,curve,get_virtual_price()(uint256),WRONG,VP ~1.0025 - same pool as 0xe443 but VP way lower; old DV getStats().pool() resolves wrong
autoETH,0x43D99d04985ef2231f7d9b5D9111D2189d9FD971,pxETH/wETH (v2),0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,curve,get_virtual_price()(uint256),MARGINAL,VP ~1.004 - same pool as 0xbA14 and 0xE382; VP low but pool may have low fee accrual
autoETH,0xbA1462f43c6f60ebD1C62735c94E428aD073E01A,pxETH/wETH (main),0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,curve,get_virtual_price()(uint256),OK,VP ~1.001-1.003; low but consistent with low-fee Curve pool
autoETH,0xE382BBd32C4E202185762eA433278f4ED9E6151E,pxETH/wETH (old),0xC8Eb2Cf2f792F77AF0Cd9e203305a585E588179D,curve,get_virtual_price()(uint256),SUSPECT,VP ~1.0025 - old DV; may resolve to wrong pool via getStats().pool()
autoETH,0xc4Eb861e7b66f593482a3D7E8adc314f6eEDA30B,Balancer pxETH/wETH StablePool (main),0x88794C65550DeB6b4087B7552eCf295113794410,balancer,getRate()(uint256),OK,VP ~1.003-1.004; hardcoded override in augment_plans.py; low VP consistent with Balancer stable pool
autoETH,0x8cA2201BC34780f14Bca452913ecAc8e9928d4cA,Balancer pxETH/wETH StablePool (old),0x88794C65550DeB6b4087B7552eCf295113794410,balancer,getRate()(uint256),SUSPECT,VP ~1.0025 - same pool as 0xc4Eb but VP lower; old DV may resolve wrong
autoETH,0xdfE3fA7027E84f59b266459C567278C79fe86f0C,Balancer ETHx/wstETH (main),0xB91159aa527D4769CB9FAf3e4ADB760c7E8C8Ea7,balancer,getRate()(uint256),OK,VP ~1.015-1.025 reasonable for Balancer
autoETH,0xfB6f99FdF12E37Bfe3c4Cf81067faB10c465fb24,Balancer ETHx/wstETH (old),0xB91159aa527D4769CB9FAf3e4ADB760c7E8C8Ea7,balancer,getRate()(uint256),WRONG,VP ~1.0025 - same pool as 0xdfE3 but VP way lower; predicted 4.4% vs actual 0.03%
autoETH,0x9b163e15121816BE53F8d5c85fbefD6e6D9bebCd,Balancer Surge Fluid wstETH-wETH,0x6b31a94029fd7840d780191B6D63Fa0D269bd883,balancerV3,getRate()(uint256),OK,VP ~1.008-1.014 reasonable for BalancerV3
autoETH,0x87E25fFe5C3A2720Cd43F5Eb8ec41Ac0CE699D07,Balancer osETH-waWETH (main),0x57c23c58B1D8C3292c15BEcF07c62C5c52457A42,balancerV3,getRate()(uint256),OK,VP ~1.011-1.012 reasonable
autoETH,0x4142e3a17391676C66DDf1285E43889F168EE237,Balancer osETH-waWETH (alt),0x57c23c58B1D8C3292c15BEcF07c62C5c52457A42,balancerV3,getRate()(uint256),OK,VP ~1.011; only 1 event
autoETH,0x40219bBda953ca811d2D0168Dc806a96b84791d9,Balancer weETH/rETH StablePool,0x05ff47AFADa98a98982113758878F9A8B9FddA0a,balancer,getRate()(uint256),OK,VP ~1.031-1.033 reasonable
autoETH,0x2B08137BeABd2454AD3631DEB754F97C5c93eB78,wETH/rETH (main),0x9EfE1A1Cbd6Ca51Ee8319AFc4573d253C3B732af,curve,get_virtual_price()(uint256),OK,VP ~1.012 reasonable
autoETH,0x6a8C6ff78082a2ae494EB9291DdC7254117298Ff,wETH/rETH (old),0x9EfE1A1Cbd6Ca51Ee8319AFc4573d253C3B732af,curve,get_virtual_price()(uint256),OK,VP ~1.011; only 2 events
